genero,capacitación,año
M,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,VENDEDOR,2021
F,VENDEDOR,2021
F,VENDEDOR,2021
F,VENDEDOR,2021
F,VENDEDOR,2021
F,VENDEDOR,2021
F,VENDEDOR,2021
M,VENDEDOR,2021
F,VENDEDOR,2021
F,VENDEDOR,2021
F,VENDEDOR,2021
M,VENDEDOR,2021
F,VENDEDOR,2021
M,TORNERO,2021
M,TORNERO,2021
M,TORNERO,2021
M,TORNERO,2021
M,TORNERO,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
