id_beneficiario,condicion_sorteo,tipo_sorteo,edad_titular_inscripcion,genero_titular_inscripcion,situacion_habitacional,cantidad_integrantes_grupo_familiar,integrantes_grupo_familiar_masculino,integrantes_grupo_familiar_femenino
4422,SUPLENTE,INDIVIDUAL - GENERAL,27,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4463,TITULAR,FAMILIAR - GENERAL,NA,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,2,1,1
4505,TITULAR,FAMILIAR - GENERAL,73,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
4518,TITULAR,FAMILIAR - GENERAL,34,MASCULINO,PROPIEDAD ALQUILADA,5,3,2
4530,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,64,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
4552,TITULAR,FAMILIAR - GENERAL,24,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
4579,TITULAR,INDIVIDUAL - GENERAL,32,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
4590,TITULAR,FAMILIAR - GENERAL,50,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
4626,SUPLENTE,FAMILIAR - GENERAL,30,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
4628,TITULAR,INDIVIDUAL - GENERAL,21,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4641,SUPLENTE,INDIVIDUAL - GENERAL,30,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4650,SUPLENTE,INDIVIDUAL - GENERAL,36,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4653,SUPLENTE,FAMILIAR - GENERAL,26,MASCULINO,PROPIEDAD ALQUILADA,4,2,2
4663,SUPLENTE,FAMILIAR - GENERAL,54,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,5,5,0
4675,TITULAR,INDIVIDUAL - GENERAL,37,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4704,SUPLENTE,INDIVIDUAL - CUPO PERSONA CON DISCAPACIDAD,47,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4741,SUPLENTE,FAMILIAR - GENERAL,27,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,3,2,1
4742,TITULAR,FAMILIAR - GENERAL,31,FEMENINO,PROPIEDAD ALQUILADA,3,2,1
4747,SUPLENTE,INDIVIDUAL - CUPO PERSONA CON DISCAPACIDAD,27,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
4751,SUPLENTE,FAMILIAR - GENERAL,36,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
4762,SUPLENTE,FAMILIAR - GENERAL,31,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,3,0,3
4763,SUPLENTE,INDIVIDUAL - GENERAL,27,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
4779,SUPLENTE,INDIVIDUAL - GENERAL,25,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
4804,SUPLENTE,FAMILIAR - GENERAL,31,FEMENINO,PROPIEDAD ALQUILADA,3,2,1
4815,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,26,MASCULINO,PROPIEDAD ALQUILADA,2,0,2
4816,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,66,MASCULINO,PROPIEDAD ALQUILADA,2,0,2
4845,TITULAR,FAMILIAR - GENERAL,49,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
